track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,danceability_category,energy_category,valence_category,popularity_category,duration_categorys,year,category,nominee,artist,winner
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,3.82,Media,Baja,Negativa,Popularidad Alta,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,3.82,Media,Baja,Negativa,Popularidad Alta,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
78TKtlSLWK8pZAKKW3MyQL,A Great Big World;Christina Aguilera,Say Something,Say Something,58,229400,False,0.453,0.146,2,-8.976,1,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905,3,acoustic,3.82,Media,Baja,Negativa,Popularidad Media,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
7xLhousIHDxoGgeJNhO4Ye,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Say Something,57,233266,False,0.447,0.158,2,-7.571,1,0.036,0.872,1.58e-06,0.0816,0.142,140.942,3,acoustic,3.89,Media,Baja,Negativa,Popularidad Media,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
6kRZfOZSuoi0Htg6gROKDz,A Great Big World,流星花園音樂專輯,Say Something,40,229573,False,0.456,0.101,2,-11.75,1,0.038,0.876,1.74e-06,0.0776,0.155,139.896,3,acoustic,3.83,Media,Baja,Negativa,Popularidad Media,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
2fPb58e6f8KxejYDCaARwS,A Great Big World,Is There Anybody Out There?,Say Something,57,233266,False,0.447,0.158,2,-7.571,1,0.036,0.872,1.58e-06,0.0816,0.142,140.942,3,acoustic,3.89,Media,Baja,Negativa,Popularidad Media,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
1K5eqtrzScac7Kgk43VcHS,Ten City,"THAT WAS THEN, THIS IS NOW",Say Something,7,255866,False,0.78,0.732,10,-10.069,0,0.0673,0.00184,0.000208,0.15,0.706,118.349,4,chicago-house,4.26,Alta,Alta,Positiva,Popularidad Baja,Mucha_Duración,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,piano,3.82,Media,Baja,Negativa,Popularidad Alta,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,piano,3.82,Media,Baja,Negativa,Popularidad Alta,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
7xLhousIHDxoGgeJNhO4Ye,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Say Something,57,233266,False,0.447,0.158,2,-7.571,1,0.036,0.872,1.58e-06,0.0816,0.142,140.942,3,piano,3.89,Media,Baja,Negativa,Popularidad Media,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
78TKtlSLWK8pZAKKW3MyQL,A Great Big World;Christina Aguilera,Say Something,Say Something,58,229400,False,0.453,0.146,2,-8.976,1,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905,3,piano,3.82,Media,Baja,Negativa,Popularidad Media,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
6kRZfOZSuoi0Htg6gROKDz,A Great Big World,流星花園音樂專輯,Say Something,40,229573,False,0.456,0.101,2,-11.75,1,0.038,0.876,1.74e-06,0.0776,0.155,139.896,3,piano,3.83,Media,Baja,Negativa,Popularidad Media,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
2fPb58e6f8KxejYDCaARwS,A Great Big World,Is There Anybody Out There?,Say Something,57,233266,False,0.447,0.158,2,-7.571,1,0.036,0.872,1.58e-06,0.0816,0.142,140.942,3,piano,3.89,Media,Baja,Negativa,Popularidad Media,Duración_Media,2014,Best Pop Duo/Group Performance,Say Something,A Great Big World With Christina Aguilera,1
